# Korea Ownership Ledger — officer/major-shareholder rows — SeoulMarkets (https://seoulmarkets.com/data/ownership)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recently filed rows.
#   The full ledger covers 32,535 rows. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,filed_on,person_name,is_registered_officer,title,relationship,shares_held,shares_change,stake_pct,stake_change_pct
084870,"TBH GLOBAL CO.,LTD",(주)티비에이치글로벌,20260907000047,2026-09-07,김민철,unregistered,상무,-,2170,2170,0.01,0.01
084870,"TBH GLOBAL CO.,LTD",(주)티비에이치글로벌,20260907000051,2026-09-07,박기웅,unregistered,상무,-,6700,6700,0.03,0.03
288980,"Moadata Co., Ltd.",(주)모아데이타,20260907000313,2026-09-07,한상진,registered,대표이사,사실상지배주주,1660114,-1250903,4.56,-3.44
381970,"K Car Co., Ltd.",케이카 주식회사,20260907000224,2026-09-07,KG스틸,,-,사실상지배주주,25632810,25632810,52.5,52.5
381970,"K Car Co., Ltd.",케이카 주식회사,20260907000255,2026-09-07,케이모빌리티밸류업,,-,10%이상주주,9612860,9612860,19.69,19.69
234300,"STraffic Co.,Ltd.",에스트래픽 주식회사,20260907000103,2026-09-07,이장한,unregistered,부사장,-,54000,4000,0.2,0.02
460870,"SMCG CO.,Ltd",(주)에스엠씨지,20260907000162,2026-09-07,최승호,registered,대표이사,사실상지배주주,5771210,4264,28.75,0.02
047050,POSCO INTERNATIONAL,(주)포스코인터내셔널,20260907000196,2026-09-07,POSCO홀딩스,,-,10%이상주주,87961395,-36434963,50,-20.71
017180,"MYUNGMOON PHARM CO.,LTD",명문제약(주),20260907000091,2026-09-07,정준일,unregistered,상무,-,226815,6815,0.67,0.02
051490,"NARA MOLD AND DIE CO., LTD.",나라엠앤디(주),20260907000109,2026-09-07,정승우,unregistered,전무,-,47000,2000,0.33,0.01
076080,"WELCRON HANTEC CO.,LTD.",(주)웰크론한텍,20260907000252,2026-09-07,이영규,registered,대표이사,사실상지배주주,1449285,36421,6.41,0.16
069640,"HANSAEMK CO.,LTD.",한세엠케이(주),20260907000254,2026-09-07,김동녕,registered,이사,-,427251,16170,1.97,0.08
069640,"HANSAEMK CO.,LTD.",한세엠케이(주),20260907000258,2026-09-07,김지원,registered,대표이사,-,84734,11488,0.39,0.05
003670,"POSCO FUTURE M CO., LTD.",(주)포스코퓨처엠,20260907000274,2026-09-07,김무철,unregistered,실장,-,3443,65,0,0
033170,Signetics Corp.,시그네틱스(주),20260907000289,2026-09-07,테라닉스,,-,사실상지배주주,6053274,-24213098,35.31,0
032830,"Samsung Life Insurance co., Ltd",삼성생명보험(주),20260907000110,2026-09-07,이원재,unregistered,상무,-,20,20,0,0
022100,POSCO DX COMPANY LTD.,(주)포스코디엑스,20260907000200,2026-09-07,POSCO홀딩스,,-,10%이상주주,76017365,-23385917,50,-22.54
039490,"KIWOOM Securities Co.,Ltd.",키움증권(주),20260907000226,2026-09-07,윤태진,unregistered,이사,-,25,25,0,0
091810,"Trinity Airways Co., Ltd.",(주)트리니티항공,20260907000144,2026-09-07,유근태,unregistered,담당,-,27014,-108056,0.03,0
091810,"Trinity Airways Co., Ltd.",(주)트리니티항공,20260907000146,2026-09-07,조재황,unregistered,담당,-,2106,-8424,0,0
347700,Sphere Corp.,(주)스피어코퍼레이션,20260907000263,2026-09-07,윤상현,registered,상무,-,10240,240,0.02,0
347700,Sphere Corp.,(주)스피어코퍼레이션,20260907000265,2026-09-07,최병철,registered,부사장,-,10250,250,0.02,0
016610,"DB Securities Co.,Ltd",DB증권(주),20260907000213,2026-09-07,DB손해보험,,최대주주,10%이상주주,11806674,101322,27.82,0.24
079810,"APS Innovation Co., Ltd.",APS이노베이션 주식회사,20260907000212,2026-09-07,APS,,-,10%이상주주,2728476,336924,12.67,-2.27
018000,"UNISON CO., LTD.",유니슨(주),20260907000208,2026-09-07,명운산업개발,,-,사실상지배주주,55829770,0,19.13,0
004410,"SEOUL FOOD IND CO.,LTD",서울식품공업(주),20260907000277,2026-09-07,박순원,registered,이사,-,1146326,24000,2.89,0.06
010580,"SM BEXEL CO.,LTD",(주)에스엠벡셀,20260907000141,2026-09-07,에스엠하이플러스,,-,10%이상주주,56918444,45500,51.16,0.04
032790,"MGEN SOLUTIONS CO., LTD.",(주)엠젠솔루션,20260907000154,2026-09-07,전흥재,unregistered,사장,-,232822,232822,0.91,0.91
347860,Alchera Inc.,주식회사 알체라,20260907000073,2026-09-07,김용호,registered,CFO,-,190566,25990,0.45,0.06
060540,SystemandApplicationTechnologiesInc.,(주)에스에이티,20260907000093,2026-09-07,에프넷,,-,10%이상주주,10252853,204077,39.23,0.78
205100,"EXEM CO., LTD.",(주)엑셈,20260907000050,2026-09-07,조종암,registered,대표이사,10%이상주주,26476061,75000,39.2,1.85
202960,"PANDORA TV CO.,LTD.",(주)판도라티비,20260907000232,2026-09-07,김경익,registered,대표이사,10%이상주주,6756214,5000,56.7,0.04
297570,ATLAS LINK Inc.,주식회사 아틀라스링크,20260907000236,2026-09-07,신정관,registered,대표이사,-,16102,-64412,0.23,0
008870,"KUMBI CO.,LTD",(주)금비,20260904000253,2026-09-04,고기영,registered,대표이사,10%이상주주,118726,132,11.87,0.01
