# Korea Ownership Ledger — substantial-shareholding filings — SeoulMarkets (https://seoulmarkets.com/data/ownership)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recently filed rows.
#   The full ledger covers 21,785 filings. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,filed_on,filing_kind,holder_name,shares_held,shares_change,stake_pct,stake_change_pct,related_party_shares,related_party_pct,reason_raw_ko
060540,SystemandApplicationTechnologiesInc.,(주)에스에이티,20260908000087,2026-09-08,general,에프넷,11284194,271411,43.18,1.04,,,최대주주의 장내 추가 매수
290120,"DH AUTOLEAD Co.,Ltd.",(주)디에이치오토리드,20260908000176,2026-09-08,abbreviated,에이치자산운용,0,-1405058,0,-8.3,,,보유비율 감소
019210,"YG-1 CO.,LTD",(주)와이지-원,20260908000374,2026-09-08,general,송호근,11542233,0,31.03,0,4554884,12.25,주식담보계약 내용변경
084180,"Soosung Webtoon co., Ltd.",수성웹툰 주식회사,20260908000112,2026-09-08,general,투믹스홀딩스,7761304,-81731,42.94,-0.19,7731304,42.78,[변동] 특수관계자 주식 취득 및 전환사채 전환권 소멸
008770,"HOTEL SHILLA CO.,LTD",(주)호텔신라,20260908000167,2026-09-08,abbreviated,한국투자신탁운용,1724662,-964067,4.39,-2.46,,,단순투자목적의 5% 보유주식의 신규보고
252500,SEWHA P&C INC.,(주)세화피앤씨,20260907000095,2026-09-07,general,이훈구,2670709,-10682857,32.19,0,,,주식병합
082920,"VITZROCELL Co.,Ltd.",(주)비츠로셀,20260907000206,2026-09-07,abbreviated,MORGANSTANLEY&COINTLPLC,1606469,-879118,3.56,-1.92,,,"직전보고서 이후 1%이상 변동(하락)에 따른 보고
의무 발생일 기준으로 대량보유상황보고의 한도 기준(5%)보다 하락에 따른 자발적 변동 보고"
113810,"Dgenx Co., Ltd.",디젠스(주),20260907000239,2026-09-07,general,디에이치코리아,2454295,-9211934,37.61,1.85,,,"최대주주, 특별관계자 장내 매수 및 주식병합"
017370,"WOOSHIN SYSTEMS CO.,LTD",(주)우신시스템,20260907000271,2026-09-07,general,허우영,6719787,0,36.69,0,2176461,11.88,- 보고자의 주식담보대출 계약변경
003160,DI CORPORATION,(주)디아이,20260907000243,2026-09-07,general,박원호,8281271,0,29.26,0,2013634,7.12,"보고자 및 특별관계자의 보유주식등에 관한
계약내용 변경(주식담보대출 만기연장) 보고"
086040,"BiotoxtechCo.,Ltd.",(주)바이오톡스텍,20260907000149,2026-09-07,general,강종구,3900685,8195,24.29,0.05,,,- 장내매수에 따른 보유주식 변동
036620,"GAMSUNG Corporation Co., Ltd.",감성코퍼레이션(주),20260907000119,2026-09-07,general,김호선,27585000,209000,30.7,0.24,12349981,13.74,"- 보고자 장내매수
- 보고자, 특수관계자 주식담보대출 대출기간 연장
- 보고자 추가 주식담보대출"
261200,"DENTIS CO.,LTD",주식회사 덴티스,20260907000241,2026-09-07,general,심기봉,4539434,0,28.71,0,2913248,18.43,주식담보계약변경
