name,kind,en_wikipedia_views_30d,daily_avg,peak_day,peak_day_views,views_last_7d,last7_vs_daily_avg
B.I.G,group,419,14,20260728,32,69,0.74
Madtown,group,503,17,20260805,48,176,1.74
Uniq (band),group,3115,104,20260717,137,743,1.07
Hotshot (band),group,578,19,20260725,31,135,1.13
VIXX LR,group,184,6,20260710,14,47,1.18
Romeo (band),group,276,9,20260726,20,69,1.53
HeartB,group,78,3,20260723,11,11,1
Snuper,group,285,10,20260801,16,79,1.34
MAP6 (band),group,256,9,20260720,18,46,0.71
Double S 301,group,303,10,20260710,16,72,0.88
Astro (South Korean band),group,9778,326,20260726,399,2261,0.97
Imfact,group,329,11,20260723,19,48,0.56
KNK (band),group,1078,36,20260716,67,286,1.42
NCT (group),group,21455,715,20260708,3075,3959,0.49
Big Brain,group,57,2,20260805,5,12,0.92
Drug Restaurant,group,668,22,20260711,35,139,0.84
A.cian,group,179,6,20260716,18,36,0.84
Boys Generally Asian,group,1378,46,20260806,413,592,2.75
SF9,group,4007,134,20260805,202,1182,1.42
Exo-CBX,group,1508,50,20260804,80,388,1.2
Got7,group,12424,414,20260803,572,3318,1.19
Pentagon (South Korean band),group,6104,203,20260721,489,1395,1.64
Voisper,group,68,2,20260713,5,15,0.88
BtoB Blue,group,203,7,20260716,14,39,0.95
Myteen,group,262,9,20260802,19,72,1.71
Honeyst,group,185,6,20260721,13,34,0.67
TST (band),group,450,15,20260712,51,66,0.31
The East Light,group,509,17,20260727,44,119,1.53
The Legend (band),group,160,5,20260715,12,35,0.95
Golden Child (band),group,2414,80,20260727,115,523,1.02
A.C.E (South Korean band),group,1715,57,20260714,77,409,0.94
VAV (band),group,618,21,20260715,35,124,0.77
Girls' Generation,group,39036,1301,20260805,1913,11067,1.34
4Minute,group,3915,131,20260709,178,838,0.86
Black Pearl (South Korean group),group,262,9,20260724,16,57,0.9
Stellar (group),group,1355,45,20260803,65,365,1.17
QBS (group),group,49,2,20260712,5,13,1.3
Bestie (group),group,1989,66,20260726,115,464,1.43
Super Junior,group,16237,541,20260721,648,3683,1.03
2Eyes,group,341,11,20260720,17,72,0.96
Wassup (group),group,712,24,20260716,48,115,0.71
Sunny Days (group),group,389,13,20260711,23,71,0.68
Melody Day (group),group,308,10,20260713,19,73,0.82
Bob Girls,group,242,8,20260708,14,52,0.78
Mamamoo,group,17223,574,20260731,915,4433,1.32
Red Velvet (group),group,30348,1012,20260803,2194,10726,1.92
4L (group),group,204,7,20260712,12,50,0.96
Badkiz,group,177,6,20260801,15,51,1.65
Laboum,group,1412,47,20260729,83,323,1
GWSN,group,1042,35,20260722,53,203,0.76
Gugudan SeMiNa,group,680,23,20260726,35,122,0.65
SS501,group,3105,104,20260730,138,671,0.87
The Boss (band),group,409,14,20260728,23,84,0.79
SG Wannabe,group,1169,39,20260726,55,265,0.97
Supreme Team (band),group,366,12,20260730,28,68,0.71
C-Clown,group,1095,37,20260709,48,241,0.87
Tasty (band),group,397,13,20260723,35,104,2.67
Speed (South Korean band),group,929,31,20260710,47,231,0.98
1TYM,group,1566,52,20260708,71,369,0.94
DMTN,group,587,20,20260714,37,122,0.82
BB Girls,group,6504,217,20260716,658,975,0.95
B1A4,group,3559,119,20260710,334,817,0.7
Jinusean,group,1902,63,20260709,172,461,0.83
Supernova (South Korean group),group,568,19,20260712,31,136,0.98
N-Train,group,155,5,20260712,10,38,0.93
Led Apple,group,382,13,20260730,29,85,1.01
F.Cuz,group,880,29,20260712,45,205,0.83
15&,group,1010,34,20260716,44,228,1
AOA (group),group,6786,226,20260727,290,1633,1.12
Skarf,group,844,28,20260801,98,274,1.97
Gangkiz,group,226,8,20260726,13,67,1.56
Fiestar,group,1022,34,20260731,52,268,1.08
Dal Shabet,group,1508,50,20260731,74,382,1.2
Chocolat (group),group,731,24,20260709,104,148,0.58
EXID,group,4302,143,20260723,185,941,0.9
Spica (group),group,914,30,20260714,55,186,0.8
C-REAL,group,184,6,20260720,13,35,0.8
Boys24,group,411,14,20260721,21,86,0.83
Stray Kids,group,58615,1954,20260726,3483,14865,1.22
DKZ,group,847,28,20260722,49,205,1.04
Wanna One,group,8170,272,20260726,320,2014,1.01
ONF (band),group,1430,48,20260714,83,355,0.87
JBJ (band),group,883,29,20260723,44,220,1.27
IZ (band),group,274,9,20260727,14,72,1.26
Seven O'Clock,group,180,6,20260804,13,55,1.62
Rainz,group,135,5,20260711,8,29,1.04
The Boyz (South Korean band),group,9213,307,20260806,3157,4279,3.24
Onewe,group,1203,40,20260716,68,310,1.24
Skye (group),group,376,13,20260805,24,85,1.02
TRCNG,group,356,12,20260710,19,82,1.01
NCT Dream,group,5565,186,20260708,387,1200,0.75
Target (South Korean band),group,111,4,20260721,9,25,0.83
Troy (band),group,146,5,20260801,11,37,1.19
UNB (group),group,1269,42,20260713,73,206,0.55
NTB (band),group,118,4,20260712,13,24,0.89
NCT 127,group,11439,381,20260708,1137,2952,0.98
D-Crunch,group,182,6,20260709,15,46,1.05
Kenta Sanggyun,group,173,6,20260724,15,38,1.12
Oneus,group,2357,79,20260730,114,608,1.13
Verivery,group,1337,45,20260727,88,299,1.19
Spectrum (group),group,1277,43,20260710,408,78,0.09
Treasure (band),group,7903,263,20260806,387,1861,0.97
1the9,group,541,18,20260713,26,130,1
D1ce,group,301,10,20260708,15,62,0.84
Vanner (band),group,570,19,20260729,66,120,1.1
AB6IX,group,1560,52,20260803,103,412,1.19
OnlyOneOf,group,1362,45,20260723,67,294,0.95
MustB,group,151,5,20260729,40,28,2.15
Exo-SC,group,556,19,20260802,32,149,1.54
SuperM,group,4150,138,20260802,187,1028,1.08
NCT U,group,2483,83,20260708,256,501,0.64
M.O.N.T,group,481,16,20260710,31,90,0.69
ENOi,group,157,5,20260711,10,24,0.49
DKB (band),group,1138,38,20260721,58,260,1.01
MCND,group,980,33,20260715,67,232,1.21
X1 (band),group,2832,94,20260714,170,573,0.8
Brown Eyed Girls,group,3566,119,20260711,169,812,0.9
Twice,group,54912,1830,20260714,5323,10076,0.62
Berry Good,group,674,22,20260708,44,140,0.69
Kara (South Korean group),group,14125,471,20260709,968,2721,0.54
Wonder Girls,group,12885,430,20260727,491,3058,1.05
2NE1,group,14041,468,20260717,607,3415,1.04
Vibe (South Korean band),group,222,7,20260719,15,71,1.42
Orange Caramel,group,2619,87,20260728,120,601,1
Lovelyz,group,2356,79,20260708,106,543,0.9
Sonamoo,group,670,22,20260806,34,163,1.16
4Ten,group,170,6,20260720,14,37,1.32
GFriend,group,6992,233,20260714,307,1672,0.98
CLC (group),group,5722,191,20260720,588,920,1.18
Oh My Girl,group,6220,207,20260801,277,1545,1.08
Blady,group,674,22,20260731,66,260,1.91
DIA (group),group,2269,76,20260713,97,476,0.85
April (girl group),group,1974,66,20260709,104,443,0.79
Playback (South Korean group),group,642,21,20260723,32,169,1.08
Unicorn (South Korean group),group,147,5,20260719,10,35,0.88
WJSN,group,10025,334,20260727,721,2873,1.57
MyB,group,176,6,20260714,24,35,0.66
2PM,group,15175,506,20260805,660,4122,1.13
Sistar,group,6539,218,20260723,400,1464,1.19
Year 7 Class 1,group,121,4,20260709,8,20,0.51
AOA Cream,group,282,9,20260803,17,72,1.16
I.O.I,group,20672,689,20260712,931,4002,0.65
AOA Black,group,559,19,20260728,27,134,1.07
Gugudan,group,3434,114,20260731,151,836,0.97
Ariaz,group,1150,38,20260714,104,204,0.58
Lip Service (group),group,110,4,20260725,9,22,0.96
Miss A,group,6451,215,20260717,281,1454,1.03
GP Basic,group,427,14,20260805,28,122,1.18
F(x) (group),group,9848,328,20260710,402,2415,1.03
After School (group),group,4972,166,20260714,213,1143,0.9
Apink,group,12776,426,20260726,918,3091,1.33
Secret (South Korean group),group,3670,122,20260709,197,719,0.7
Girls' Generation-TTS,group,1693,56,20260711,79,394,0.89
Crayon Pop,group,2088,70,20260708,235,346,0.42
Loona,group,14153,472,20260710,585,2964,0.86
Shinhwa,group,4986,166,20260801,200,1297,1.21
Ulala Session,group,427,14,20260712,25,80,0.84
Epik High,group,11394,380,20260804,1024,4924,2.19
TVXQ,group,11681,389,20260723,475,2591,1.02
NU'EST,group,4598,153,20260728,445,1054,1.14
Blackpink,group,105378,3513,20260731,5697,31618,1.46
Pristin,group,2042,68,20260714,91,485,0.96
I.B.I (group),group,419,14,20260715,25,90,1.01
CocoSori,group,314,10,20260727,19,79,0.95
D.Holic,group,172,6,20260714,9,39,1.03
Momoland,group,7522,251,20260708,335,1577,0.82
AtHeart,group,2736,91,20260710,135,567,0.76
Alice (group),group,918,31,20260806,60,216,0.84
Boyfriend (band),group,2407,80,20260802,140,790,1.79
100% (band),group,697,23,20260714,39,142,0.86
Cross Gene,group,757,25,20260716,37,170,0.96
JtL,group,631,21,20260726,37,121,0.83
Weki Meki,group,2688,90,20260727,141,557,0.84
P.O.P (group),group,135,5,20260723,10,19,0.66
Good Day (group),group,430,14,20260804,26,110,1.41
S.I.S (group),group,145,5,20260730,10,30,0.86
Favorite (group),group,317,11,20260721,21,72,1
Fromis 9,group,18953,632,20260721,1091,4106,1.23
HashTag (group),group,188,6,20260721,13,42,1.05
Busters (group),group,971,32,20260802,86,307,1.83
G.o.d,group,5447,182,20260711,363,1223,0.79
U-KISS,group,4989,166,20260709,319,897,0.56
CNBLUE,group,4564,152,20260708,202,1139,1.02
F.T. Island,group,4609,154,20260726,272,953,0.95
ZE:A,group,3582,119,20260708,146,824,0.92
JQT (group),group,836,28,20260801,65,301,1.89
F-ve Dolls,group,785,26,20260723,39,184,0.92
Puretty,group,790,26,20260708,47,206,0.9
Sugar (South Korean group),group,677,23,20260729,44,138,0.98
Rainbow (girl group),group,1358,45,20260709,65,308,0.87
Uni.T,group,721,24,20260711,36,179,0.95
LPG (South Korean group),group,250,8,20260731,19,65,1.2
Jewelry (group),group,1579,53,20260710,78,367,1.02
RaNia (band),group,30,1,20260715,3,5,0.42
Laysha,group,557,19,20260727,31,115,0.87
Honey Popcorn,group,14919,497,20260803,1112,3683,1.05
JYJ,group,2190,73,20260719,90,490,0.95
I-dle,group,26005,867,20260731,1526,6501,0.87
Pristin V,group,368,12,20260726,23,82,0.94
WJMK (group),group,219,7,20260719,16,56,1.17
NeonPunch,group,170,6,20260725,12,39,1
Infinite (band),group,3068,102,20260720,145,660,0.91
BTS,group,383622,12787,20260719,96360,66382,1.29
BtoB 4U,group,192,6,20260724,15,27,0.6
Mirae (band),group,1773,59,20260802,414,743,2.26
Ciipher,group,928,31,20260804,76,303,1.38
Hot Issue (group),group,431,14,20260804,23,111,1.01
The KingDom,group,478,16,20260712,39,99,0.79
Blitzers,group,1471,49,20260726,122,342,1.23
Omega X,group,2865,96,20260717,198,558,0.86
Just B,group,1615,54,20260711,70,367,0.93
M4M (band),group,215,7,20260708,41,30,0.37
NTX (group),group,1484,49,20260708,103,344,0.79
Luminous (group),group,386,13,20260713,21,76,0.78
Got the Beat,group,4485,150,20260805,229,1250,1.24
Tempest (South Korean band),group,1762,59,20260710,83,425,1.02
TAN (group),group,594,20,20260718,65,97,1.03
TNX (group),group,1691,56,20260713,94,387,0.88
Sweet Sorrow (band),group,114,4,20260801,12,40,2.35
Superkind,group,253,8,20260722,17,51,1.02
ATBO,group,472,16,20260724,24,104,1.04
Aimers (band),group,182,6,20260725,13,41,1.02
BXB (group),group,749,25,20260803,44,164,1.29
Zerobaseone,group,11369,379,20260713,482,2476,0.85
Lun8,group,6643,221,20260726,774,1662,3.34
Hori7on,group,1847,62,20260801,133,529,1.24
El7z Up,group,1396,47,20260712,68,336,1.11
One Pact,group,1809,60,20260723,100,531,2.07
Ampers&One,group,2746,92,20260716,125,602,0.84
Nexz,group,4960,165,20260712,238,1126,0.9
TWS (group),group,8370,279,20260804,358,2131,1.14
Hi-Fi Un!corn,group,370,12,20260725,33,84,0.87
All(H)Ours,group,2114,70,20260714,108,537,1.17
Dxmon,group,448,15,20260708,27,108,0.98
TIOT,group,526,18,20260804,41,193,2.01
B.D.U,group,688,23,20260730,45,167,1.14
F-iV,group,202,7,20260728,15,43,0.93
Noel (band),group,783,26,20260804,105,250,1.52
Lunafly,group,203,7,20260709,11,46,1.02
Every Single Day (band),group,120,4,20260712,9,27,0.9
Tritops,group,107,4,20260710,12,19,0.63
Touch (South Korean group),group,145,5,20260720,16,33,1.22
ARrC,group,1804,60,20260710,139,353,0.55
Polarix,group,27,1,20260714,5,4,0.4
Close Your Eyes (group),group,4445,148,20260725,233,888,0.77
KickFlip,group,4519,151,20260802,192,1148,1.13
LC9 (band),group,164,5,20260715,13,24,0.75
A-Prince,group,410,14,20260712,94,30,0.09
Seventeen (South Korean band),group,32001,1067,20260727,1590,6528,0.78
Mr.Mr (band),group,217,7,20260719,13,48,0.89
Winner (band),group,4611,154,20260708,207,1000,0.8
M.Pire,group,101,3,20260723,7,28,2
Be.A,group,351,12,20260718,21,65,0.62
Topp Dogg,group,718,24,20260715,45,179,1.15
N.Flying,group,2449,82,20260803,113,618,1
Toheart (band),group,405,14,20260723,44,81,1.37
Beatwin,group,123,4,20260724,10,26,0.67
Cortis,group,70756,2359,20260715,4197,21703,1.55
Highlight (band),group,5546,185,20260804,286,1459,1.12
Shinee,group,15864,529,20260802,614,3913,1.11
Nowz,group,1120,37,20260806,279,554,3.26
Idid (group),group,2464,82,20260708,105,525,0.86
Homme (duo),group,597,20,20260708,46,141,0.74
Alpha Drive One,group,9194,306,20260710,465,2051,0.88
Am8ic,group,182,6,20260724,25,43,1.65
24K+,group,531,18,20260726,85,114,1.23
Modyssey,group,3384,113,20260802,162,886,1.36
Aespa,group,49456,1649,20260803,6003,17313,1.84
STAYC,group,6691,223,20260731,607,2327,1.71
Tri.be,group,1618,54,20260730,75,356,0.95
Lightsum,group,3415,114,20260803,543,1468,2.32
BugAboo,group,537,18,20260713,25,121,0.85
Viviz,group,3999,133,20260804,202,997,1.05
Mimiirose,group,502,17,20260713,30,108,0.76
Madein,group,3547,118,20260805,193,935,1.24
TripleS,group,11870,396,20260708,467,2682,0.9
Mave:,group,1992,66,20260708,115,327,0.51
Fifty Fifty (group),group,14890,496,20260723,758,3424,1.17
Mamamoo+,group,1049,35,20260731,49,255,1.09
Kiss of Life (group),group,11129,371,20260804,766,3317,1.47
Primrose (group),group,525,18,20260708,42,83,0.44
Artms,group,9731,324,20260724,968,2313,1.31
Loossemble,group,3619,121,20260724,189,809,0.97
Illit,group,48136,1605,20260727,1975,10955,0.98
Everglow,group,6047,202,20260802,463,1852,1.51
Secret Number,group,3421,114,20260721,649,830,1.73
Unis (group),group,6249,208,20260716,317,1159,0.81
We Girls,group,133,5,20260712,10,25,0.69
BigBang (South Korean band),group,30963,1032,20260729,1552,7993,1.2
Oh!GG,group,1849,62,20260728,124,483,1.23
Iz*One,group,19337,645,20260714,851,4797,1.04
Nature (group),group,840,28,20260727,48,212,1.06
Celeb Five,group,499,17,20260730,29,145,1.32
Cherry Bullet,group,2689,90,20260805,154,707,1.22
Maywish,group,73,2,20260716,6,19,1.19
DreamNote,group,472,16,20260711,26,103,0.71
Fanatics (group),group,641,21,20260727,64,120,0.77
Itzy,group,16050,535,20260711,665,3424,0.8
Pink Fantasy,group,1577,53,20260804,86,402,0.93
Saturday (group),group,255,9,20260723,22,51,0.88
Bvndit,group,559,19,20260724,33,120,1.03
Purplebeck,group,116,4,20260803,9,25,0.78
Weeekly,group,2192,73,20260728,107,469,0.88
Girlkind,group,273,9,20260715,19,52,0.8
3YE,group,362,12,20260721,16,78,0.84
Rocket Punch,group,1649,55,20260806,159,417,1.12
Hinapia,group,292,10,20260728,19,69,0.97
Cignature,group,1353,45,20260724,65,308,1.14
MINX (band),group,26,1,20260722,8,7,0.78
Wooah,group,2302,77,20260713,230,407,0.54
Redsquare,group,144,5,20260710,10,32,0.82
Purple Kiss,group,2263,75,20260728,117,502,0.87
Pixy (group),group,2122,71,20260723,107,565,1.31
Block B,group,8210,274,20260708,400,1623,0.74
BoyNextDoor,group,10418,347,20260725,437,2491,1.08
Xodiac (band),group,780,26,20260715,42,145,0.7
Fantasy Boys (group),group,1240,41,20260731,88,352,1.36
Young Posse,group,2947,98,20260713,200,529,0.62
Waker,group,332,11,20260714,20,72,0.81
AxMxP,group,1300,43,20260712,62,351,1.09
Nine Muses (group),group,2479,83,20260712,108,592,0.95
The Wind (band),group,928,49,20260729,112,511,4.26
GI (group),group,211,7,20260714,13,47,1.07
Kim Heechul & Kim Jungmo,group,414,14,20260720,22,120,1.43
Enhypen,group,45321,1511,20260806,3650,11885,1.09
TO1,group,992,33,20260727,46,241,1.06
Ladies' Code,group,7161,239,20260712,326,1343,0.68
T-ara N4,group,412,14,20260724,28,118,1.76
Tahiti (group),group,1005,34,20260805,57,238,0.99
J-Walk,group,196,7,20260718,14,34,0.74
The SeeYa,group,429,14,20260731,23,110,1.06
VIXX,group,3414,114,20260728,151,747,0.88
4Men,group,528,18,20260801,38,146,1.34
AlphaBat,group,191,6,20260713,14,35,0.65
Boys Republic (band),group,456,15,20260720,32,94,0.93
Flower (South Korean band),group,67,2,20260801,7,22,1.38
N-Sonic,group,272,9,20260725,19,57,1.04
2000 Won,group,99,3,20260723,12,12,0.46
JJCC,group,722,24,20260806,234,326,2.41
5urprise,group,3280,109,20260716,431,632,0.88
High4,group,259,9,20260719,19,55,0.83
HALO (South Korean group),group,291,10,20260719,13,59,0.86
IKon,group,8456,282,20260726,507,1885,1.02
Bigflo,group,343,11,20260714,40,68,0.56
Infinite F,group,219,7,20260801,13,47,0.9
Super Junior-T,group,597,20,20260805,32,167,1.64
Cleo (group),group,364,12,20260719,18,86,1.32
5tion,group,278,9,20260804,21,91,2.17
Apeace,group,260,9,20260708,20,68,0.87
Baby Vox Re.V,group,336,11,20260722,26,61,0.8
A-Jax (band),group,419,14,20260719,28,95,0.95
10cm (band),group,2655,89,20260720,213,577,1.05
T-ara,group,11119,371,20260802,601,3122,1.35
Papaya (group),group,354,12,20260711,18,86,0.97
SM the Ballad,group,758,25,20260720,41,189,1.11
EXO-M,group,49,2,20260801,7,15,1.5
2AM (band),group,4317,144,20260726,175,1012,1.05
MBLAQ,group,2262,75,20260804,118,616,1.22
Click-B,group,1809,60,20260711,157,356,0.55
D-Unit,group,360,12,20260723,23,84,0.99
Sistar19,group,1502,50,20260723,132,294,1.11
AA (band),group,320,11,20260716,17,67,0.91
Shu-I,group,86,3,20260724,7,14,0.61
EvoL,group,430,14,20260723,31,108,1.17
Infinite H,group,203,7,20260722,14,30,0.65
Gavy NJ,group,750,25,20260713,69,156,0.75
Chakra (group),group,715,24,20260719,40,144,0.81
Shinvi,group,398,13,20260806,22,114,1.48
Untouchable (band),group,118,4,20260717,9,30,1.25
NRG (South Korean band),group,698,23,20260713,37,158,1.05
Battle (South Korean band),group,164,5,20260708,9,34,0.87
Sechs Kies,group,2988,100,20260730,216,670,1.1
K-pop (band),group,881,29,20260725,69,145,0.85
Luv (group),group,404,13,20260722,22,74,0.79
Glam (group),group,3589,120,20260804,214,855,0.93
Super Junior-H,group,428,14,20260726,22,98,1.04
Super Junior-M,group,2198,73,20260802,96,527,1.07
One Way (South Korean band),group,162,5,20260716,9,32,0.78
Paran (band),group,182,6,20260719,11,43,1.19
Big Star (South Korean band),group,441,15,20260708,30,77,0.61
She'z,group,129,4,20260804,13,38,1.31
T-max,group,390,13,20260730,22,86,1.26
Tiny-G,group,583,19,20260728,74,113,1.1
Two X,group,252,8,20260804,17,73,1.24
UNVS,group,138,5,20260714,12,29,0.83
Cravity,group,3062,102,20260726,141,675,0.99
Argon (band),group,160,5,20260728,23,35,1.09
E'Last,group,601,20,20260712,33,115,0.64
RabidAnce,group,51,2,20260718,4,11,1
SSAK3,group,986,33,20260723,51,212,0.91
Ghost9,group,7441,248,20260714,1296,1052,0.41
Daily:Direction,group,1103,37,20260713,74,207,0.76
Trainee A,group,3391,113,20260804,158,876,1.19
And2ble,group,8759,292,20260731,406,2002,0.91
Flare U,group,1789,60,20260714,99,398,0.88
Soul People (band),group,58,3,20260713,19,6,0.14
Kangta & Vanness,group,593,20,20260708,40,144,0.78
Exo,group,26610,887,20260726,1123,6231,1.03
Rolling Quartz,group,2654,88,20260806,105,599,1.01
TFN (group),group,375,13,20260805,23,123,1.92
Ive (group),group,33374,1112,20260727,2146,8207,1.47
Younite,group,914,30,20260715,46,213,1
H1-Key,group,3567,119,20260731,249,1101,1.64
Isegye Idol,group,333,11,20260727,34,65,0.84
Lapillus (group),group,2418,81,20260801,124,565,1
Irris,group,328,11,20260712,19,72,0.88
NewJeans,group,65745,2192,20260722,8569,9645,0.84
CSR (group),group,890,30,20260727,121,203,1.05
Mighty Mouth,group,428,14,20260709,28,80,0.67
X:IN,group,4044,135,20260728,217,1186,1.73
Busker Busker,group,580,19,20260708,31,120,0.8
Jannabi (band),group,2091,70,20260714,134,425,0.65
Baby Vox,group,3192,106,20260722,148,694,0.83
BtoB (band),group,8322,277,20260725,689,1564,0.95
S.E.S. (group),group,4074,136,20260806,212,1030,1.22
M.I.B (band),group,995,33,20260728,60,225,0.94
Jaurim,group,986,33,20260718,110,203,1.4
Sinawe,group,631,21,20260708,37,156,0.84
Clazziquai Project,group,506,17,20260724,37,107,1.1
Girl's Day,group,7573,252,20260714,335,1611,0.86
We Are The Night (band),group,125,4,20260731,9,38,2.24
Ahn Trio,group,175,6,20260718,16,25,0.5
BAE173,group,1302,43,20260714,215,238,0.58
Nemesis (South Korean band),group,87,3,20260711,6,13,0.65
Super Junior-K.R.Y.,group,507,17,20260719,24,112,0.96
Vanilla Unity,group,61,2,20260715,7,11,0.5
Brown Eyes (band),group,431,14,20260730,25,103,1.18
Oathean,group,81,3,20260805,7,20,1.25
Sunny Hill,group,857,29,20260724,53,205,1.15
Billlie,group,5943,198,20260711,306,1303,0.81
Kep1er,group,9607,320,20260730,453,2244,1.18
Ichillin',group,1116,37,20260712,74,333,1.09
Nmixx,group,14925,498,20260726,603,3300,0.94
Craxy,group,302,10,20260723,17,74,0.97
ILY:1,group,650,22,20260712,34,138,0.84
Classy (group),group,3137,105,20260714,174,599,0.67
Le Sserafim,group,62522,2084,20260712,2686,13076,0.76
Rescene,group,42713,1424,20260709,3903,4960,0.27
VVUP,group,944,31,20260725,92,187,0.87
Candy Shop (group),group,1096,37,20260724,65,234,0.87
Izna,group,9367,312,20260710,418,1989,0.79
Meovv,group,21200,707,20260709,939,4601,0.81
Ablume,group,2043,68,20260723,90,434,0.91
Hearts2Hearts,group,26238,875,20260709,1172,5885,0.85
KiiiKiii,group,9287,310,20260723,501,2682,1.57
Seo Taiji and Boys,group,5839,195,20260708,368,1431,0.96
H.O.T.,group,5014,167,20260801,208,1233,1.05
Teen Top,group,2697,90,20260708,131,548,0.85
Guckkasten,group,223,7,20260806,14,72,1.85
Big Mama (group),group,1547,52,20260711,78,382,1
B.A.P (South Korean band),group,3826,128,20260731,249,953,1.13
Nell (band),group,895,30,20260708,57,184,0.8
Coed School,group,960,32,20260723,53,240,1.05
Fly to the Sky,group,1570,52,20260806,145,489,1.56
The Grace (group),group,1357,45,20260723,62,327,1.03
Fin.K.L,group,3595,120,20260718,153,763,0.81
YB (band),group,1221,41,20260708,65,320,1.14
Cherry Filter,group,443,15,20260717,21,101,0.9
Milk (South Korean group),group,1591,53,20260721,71,354,0.96
SM Town,group,3571,119,20260709,150,933,1.06
Drunken Tiger,group,993,33,20260722,55,272,1.28
Koyote,group,1287,43,20260804,61,346,1.25
Myname,group,999,33,20260719,58,235,1.11
TRAX (band),group,941,31,20260717,47,187,0.95
Kiss (South Korean group),group,885,30,20260708,47,187,0.89
Koreana (band),group,404,13,20260729,21,82,0.83
Hello Venus,group,2010,67,20260726,94,438,0.97
Bulldog Mansion,group,89,3,20260716,6,22,1.1
SeeYa,group,2732,91,20260806,148,850,1.35
Turtles (South Korean band),group,451,15,20260710,26,85,0.75
Boohwal,group,648,22,20260711,49,108,0.56
Crash (South Korean band),group,266,9,20260804,16,82,1.86
Loveholics,group,472,16,20260722,28,115,1.12
DJ DOC,group,680,23,20260720,34,152,1.14
The Jadu,group,189,6,20260717,16,37,1.09
Deux (band),group,2780,93,20260708,211,551,0.66
Monday Kiz (band),group,608,20,20260715,39,110,0.59
Roo'ra,group,1532,51,20260713,154,320,0.67
Typhoon (South Korean band),group,118,4,20260801,12,27,0.82
Onnine Ibalgwan,group,117,4,20260708,9,23,0.79
Brown Eyed Soul (band),group,567,19,20260724,41,129,1.02
Sharp (South Korean band),group,1286,43,20260806,71,327,1.02
NEXT (South Korean band),group,349,12,20260731,21,91,0.98
HITGS,group,709,24,20260731,38,184,1.03
Baby Dont Cry,group,3313,110,20260710,143,747,0.9
Latency (band),group,2406,80,20260720,118,545,0.9
Unchild,group,6516,217,20260709,305,1414,0.81
Apollo 18 (band),group,94,3,20260712,7,22,0.85
As One (musical duo),group,1003,33,20260806,61,268,1.4
Bluedawn,group,56,2,20260730,6,13,1
Broken Valentine,group,102,3,20260805,11,50,1.92
Buzz (band),group,531,18,20260723,32,132,1.14
Chung Trio,group,73,2,20260713,6,19,1
Crying Nut,group,544,18,20260726,38,125,1.23
Dana & Sunday,group,12,1,20260710,3,3,0.43
Dynamic Duo (South Korean duo),group,2056,69,20260803,108,516,1.08
Eve (South Korean band),group,171,6,20260803,12,54,1.59
Garion (band),group,136,5,20260805,12,49,1.88
Glen Check (band),group,529,18,20260716,29,116,0.87
Goofy (band),group,165,6,20260719,11,43,1.48
Marronnier (group),group,55,2,20260723,7,10,0.91
Rubber Duckie (band),group,26,1,20260719,3,4,0.57
Korea National Opera,group,26,1,20260711,3,4,0.5
Lady (group),group,807,27,20260801,37,204,1.15
M.C the Max,group,857,29,20260719,51,190,1.2
Mystic Puzzle,group,18,1,20260715,3,6,1
Oh! Brothers,group,31,1,20260716,3,7,1.4
Peppertones,group,469,16,20260731,36,124,1.38
Rude Paper,group,29,1,20260709,3,10,1.11
Rumble Fish (band),group,122,4,20260804,14,40,1.43
Sorea Band,group,60,2,20260709,9,9,0.53
S (South Korean band),group,199,7,20260719,15,49,1.07
Sanulrim,group,1104,37,20260722,76,247,0.93
Phantom (band),group,311,10,20260714,18,61,0.82
Pia (band),group,218,7,20260716,14,49,0.96
R.ef,group,292,10,20260802,35,144,3.89
Super Junior-D&E,group,879,29,20260802,76,295,1.77
T.T.Ma,group,253,8,20260710,85,34,0.28
Yurisangja,group,122,4,20260801,13,41,1.32
The RockTigers,group,80,3,20260722,11,20,1.33
Norazo,group,378,13,20260714,23,77,0.87
Toy (South Korean band),group,250,8,20260725,15,47,0.84
Turbo (South Korean band),group,1799,60,20260713,198,345,0.64
Vassline,group,85,3,20260711,11,18,0.75
Vodka Rain,group,22,1,20260721,3,6,1
3rd Line Butterfly,group,99,3,20260728,15,21,1.4
The Blue (musical duo),group,283,9,20260727,16,78,1.18
No Brain,group,1236,41,20260722,301,128,2.37
Baechigi,group,139,5,20260803,15,43,1.59
Black Beat,group,654,22,20260724,144,108,1.03
Sobangcha,group,837,28,20260804,330,566,7.97
Kiha & The Faces,group,554,18,20260806,286,339,4.46
Autumn Vacation,group,53,2,20260723,5,8,0.67
015B,group,372,12,20260727,24,102,1.44
V.O.S (band),group,421,14,20260718,39,67,0.84
Galaxy Express (band),group,105,4,20260716,12,30,1.76
Gate Flowers,group,29,1,20260716,3,9,2.25
Geeks (musical duo),group,207,7,20260806,14,66,1.57
Goonamguayeoridingstella,group,17,1,20260719,2,8,1.14
No Respect for Beauty,group,28,1,20260716,3,4,0.57
Noizegarden,group,68,2,20260802,8,24,1.71
Daybreak (band),group,379,13,20260710,26,87,0.7
Delispice,group,510,17,20260805,96,199,2.65
Deulgukhwa,group,231,8,20260714,24,49,0.61
Second Moon,group,65,2,20260728,13,15,1.15
