wikidata_q,name,born,kind,is_group,schools,school_count,wikipedia_editions,label_has_hangul
Q12616710,Jo Sang-gu,1954-12-18,acting,no,Dongguk University,1,1,no
Q12616925,조영수 (성악가),1949-08-09,music,no,,0,1,yes
Q12617034,Jo Jae-hun,1950-03-01,acting,no,Hanyang University,1,1,no
Q12617092,Jin Won Cho,1958-03-11,music,no,"Yonsei University | University of California, Davis",2,1,no
Q3936060,Go Doo-shim,1951-05-22,acting,no,Jeju Girls' High School | Jeju Girls' Middle School,2,15,no
Q4022731,Na Moon-hee,1941-11-30,acting,no,Changduk Girls' High School,1,20,no
Q16081131,Min Gyeong-jin,1955-05-24,acting,no,Wonkwang Digital University,1,1,no
Q16081166,Min Wook,1947-11-26,acting,no,Seorabeol Art College,1,2,no
Q16081302,Park Gwang-nam,1943-11-28,acting,no,Seorabeol Art College,1,1,no
Q16081606,Park Sang-gyoo,1951-10-18,acting,no,Dongguk University,1,1,no
Q16082830,Bae Chang-ho,1953-05-16,acting,no,Yonsei University,1,4,no
Q496464,Dragon Lee,1958-08-12,acting,no,Yonsei University,1,8,no
Q498380,Park Jung-soo,1953-06-01,acting,no,Duksung Women's University,1,12,no
Q498687,Im Hyuk,1949-05-31,acting,no,Chung-Ang University,1,7,no
Q563089,Lee Charm,1954-04-03,acting,no,Johannes Gutenberg University Mainz,1,6,no
Q12615242,Jeon In-kwon,1954-09-04,music,yes,,0,5,no
Q12615815,Jeong Ae-ran,1927-04-15,acting,no,Seoul Yongsan Elementry School,1,1,no
Q12615985,Jeong Jae-jin,1953-02-28,acting,no,Youngdeungpo High School,1,1,no
Q12616006,Jeong Jong-yeol,1958-03-09,acting,no,,0,1,no
Q12616106,Joung Tae-choon,1954-10-10,music,no,Pyeongtaek High School | Pyeongtaek Middle School,2,1,no
Q12616159,Jeong Hyeong-gi,1956-12-07,acting,no,,0,1,no
Q624135,Yoo Dong-geun,1956-06-18,acting,no,Seoul Institute of the Arts,1,8,no
Q624147,Seo In-seok,1950-02-22,acting,no,Chung-Ang University,1,7,no
Q624554,Yu Ji-in,1956-01-27,acting,no,Chung-Ang University,1,8,no
Q625144,Jeon Ok,1911-04-02,acting,no,,0,8,no
Q17682978,은희,1951-05-13,music,no,Fashion Institute of Technology,1,1,yes
Q17682980,이문희,1959-01-01,acting,no,,0,1,yes
Q17716167,Kim Yong-man,1933-01-25,music,no,,0,1,no
Q18016000,유병준,1945-07-28,acting,no,,0,1,yes
Q18116695,서유석,1945-01-08,music,no,Seoul High School,1,1,yes
Q18176077,전영,1958-05-28,music,no,,0,1,yes
Q18550376,Kim Ho-jong,1946-05-02,acting,no,Seorabeol Art College,1,1,no
Q18551265,Choi Nam-hyeon,1918-01-07,acting,no,Osan High School,1,1,no
Q18604908,Gi Jeong-su,1949-02-27,acting,no,,0,1,no
Q18605620,Yun Sun-hong,1956-09-07,acting,no,,0,1,no
Q18648142,Kim Hong-seok,1957-11-15,acting,no,Dongguk University,1,1,no
Q18648308,성인자,1955-01-20,acting,no,,0,1,yes
Q18648438,이동신,1957-11-25,acting,no,,0,1,yes
Q18648458,이형준,1955-11-08,acting,no,,0,1,yes
Q18648469,Im Yeong-gyu,1956-04-06,acting,no,Anyang Arts High School,1,1,no
Q16068617,Ju Ho-seong,1948-10-22,acting,no,Chung-Ang University,1,1,no
Q16079909,Seo Se-won,1956-03-18,music,no,Kyonggi University | Daeryun High School | Busan Daesin Middle School,3,1,no
Q16079942,이정선,1950-09-20,music,no,Yongsan High School,1,1,yes
Q16080126,권인하,1959-08-13,music,no,Kyung Hee University,1,1,yes
Q16080187,Kim Do-hyang,1945-05-03,both,no,Chung-Ang University | Kyunggi High School,2,1,no
Q16080288,Kim Se-Hwan,1948-07-15,music,no,Kyung Hee University,1,1,no
Q16080365,Kim Il-woo,1953-05-24,acting,no,,0,4,no
Q16080783,Kim Heung-gook,1959-04-11,both,no,Dongguk University | Korea National Open University,2,2,no
Q16084648,Pyŏng-wŏn An,1926-08-05,music,no,,0,1,no
Q16084686,An Seung-hun,1959-04-03,acting,no,,0,1,no
Q16085081,Yeo Kyun-dong,1958-05-09,acting,no,Chungam High School,1,1,no
Q16090147,Kim Chang-hoon,1956-02-11,music,yes,Yongsan High School,1,1,no
Q16090196,Park Hye-sook,1948-08-13,acting,no,Jeonju Sungsim Girls' High School,1,1,no
Q16090291,엄인호,1952-11-26,music,yes,Dankook University,1,1,yes
Q16090336,O Uk-cheol,1959-02-05,music,no,Yeungnam University,1,1,no
Q16090369,왕영은,1959-03-23,music,no,Hongik University Girls' High School | Seoul Soosong Elementary School,2,1,yes
Q16090679,윤학원,1938-10-26,music,no,,0,1,yes
Q16090681,윤항기,1943-09-15,music,no,Yonsei University,1,1,yes
Q16090691,이건용,1947-09-30,music,no,,0,1,yes
Q16090850,James Moosong Lee,1959-10-10,music,no,Yonsei University,1,1,no
Q625315,Song Do Yeong,1951-12-22,acting,no,,0,4,no
Q625431,Im Ha-ryong,1952-10-31,acting,no,Hanyang University,1,7,no
Q625445,Park In-hwan,1926-08-15,acting,no,,0,8,no
Q625480,Kim Hye-ja,1941-10-25,acting,no,Ewha Womans University,1,23,no
Q625523,Sim Soo-bong,1955-07-11,both,no,Myongji University,1,9,no
Q625547,Song Dae Kwan,1946-06-02,music,no,,0,7,no
Q625735,Joo Hyun,1943-03-01,acting,no,Konkuk University,1,8,no
Q626819,Gong Ok-jin,1931-08-14,music,no,,0,3,no
Q16189141,Im Joo-ri,1958-11-03,music,no,Seoul Women’s College of Nursing,1,1,no
Q16189578,Djong Victorin Yu,1957-06-02,other,no,,0,3,no
