name,slug,wikipedia_page,born,charting_titles,chart_places,countries
Lee Joo-seung,lee-joo-seung,Lee Joo-seung,1989-07-20,4,213,79
Go Doo-shim,go-doo-shim,Go Doo-shim,1951-05-22,3,210,39
Kim Jung-nan,kim-jung-nan,Kim Jung-nan,1971-07-16,3,210,11
Lee Sung-jae,lee-sung-jae,Lee Sung-jae,1970-08-23,3,210,92
Ra Mi-ran,ra-mi-ran,Ra Mi-ran,1975-03-06,6,210,34
Gong Jeong-hwan,gong-jeong-hwan,Gong Jeong-hwan,1976-02-15,3,208,65
Park Hoon,park-hoon,Park Hoon,1981-04-27,7,208,55
Bae Jong-ok,bae-jong-ok,Bae Jong-ok,1964-05-13,2,207,65
Ha Jung-woo,ha-jung-woo,Ha Jung-woo,1978-03-11,11,206,83
Joo Won,joo-won,Joo Won,1987-09-30,3,206,92
Lee Sung-min,lee-sung-min,Lee Sung-min (actor),1968-12-04,11,206,31
Bae Yu-ram,bae-yu-ram,Bae Yoo-ram,1986-08-22,3,205,79
Lee Soon-won,lee-soon-won,Lee Soon-won (actor),1983-02-19,3,205,79
Jo Hye-joo,jo-hye-joo,Jo Hye-joo,1995-04-18,2,204,48
Ko Kyung-pyo,ko-kyung-pyo,Ko Kyung-pyo,1990-06-11,7,203,25
Lee Mi-do,lee-mi-do,Lee Mi-do,1982-05-25,2,203,65
Lee Jun-hyeok,lee-jun-hyeok,"Lee Jun-hyeok (actor, born 1972)",1972-03-19,4,201,48
Steve Sanghyun Noh,steve-sanghyun-noh,Noh Sang-hyun,1990-07-19,2,200,51
Bang Eun-jin,bang-eun-jin,Bang Eun-jin,1965-08-05,3,199,17
Hwang Woo-seul-hye,hwang-woo-seul-hye,Hwang Woo-seul-hye,1979-08-10,3,198,10
Song Seung-heon,song-seung-heon,Song Seung-heon,1976-10-05,2,198,79
Ye Soo-jung,ye-soo-jung,Ye Soo-jung,1955-03-25,4,198,48
Ha Seok-jin,ha-seok-jin,Ha Seok-jin,1982-03-05,2,197,11
Lee Ho-jung,lee-ho-jung,Lee Ho-jung (model),1997-01-20,3,196,71
Lee Hyo-je,lee-hyo-je,Lee Hyo-je,,2,196,65
Park Ho-san,park-ho-san,Park Ho-san,,4,196,52
Lee Chang-hoon,lee-chang-hoon,Lee Chang-hoon,1980-04-28,2,195,48
Lee Sun-bin,lee-sun-bin,Lee Sun-bin,1994-01-07,2,192,72
Jang So-yeon,jang-so-yeon,Jang So-yeon,1980-01-28,3,191,10
Lee Joon,lee-joon,Lee Joon,1988-02-07,3,191,76
Seo Ji-hye,seo-ji-hye,Seo Ji-hye,,2,190,11
Kwon Sang-woo,kwon-sang-woo,Kwon Sang-woo,1976-08-05,6,186,67
Shin Sae-kyeong,shin-sae-kyeong,Shin Se-kyung,1990-07-29,3,184,68
Ahn Jae-hong,ahn-jae-hong,Ahn Jae-hong (actor),1986-03-31,4,180,72
Ryu Seung-ryong,ryu-seung-ryong,Ryu Seung-ryong,1970-11-29,7,179,32
Kim Ji-hyun,kim-ji-hyun,Kim Ji-hyun (actress),,2,175,16
Park Min-young,park-min-young,Park Min-young,1986-03-04,3,175,24
Won Ji-an,won-ji-an,Won Ji-an,1999-08-17,2,175,55
Moon Jeong-hee,moon-jeong-hee,Moon Jeong-hee,1976-01-12,4,173,69
Shin Eun-soo,shin-eun-soo,Shin Eun-soo,2002-10-23,4,171,62
Gang Dong-won,gang-dong-won,Gang Dong-won,1981-01-18,5,170,77
Lee Kwang-soo,lee-kwang-soo,Lee Kwang-soo,,2,170,67
Kim Mi-kyung,kim-mi-kyung,Kim Mi-kyung,1963-10-14,2,169,71
Kim Nam-gil,kim-nam-gil,Kim Nam-gil,1980-03-13,7,169,47
Jun Ji-hyun,jun-ji-hyun,Jun Ji-hyun,1981-10-30,5,168,76
N,n,N (singer),1990-06-30,3,168,31
Nana,nana,Nana (entertainer),,3,166,72
Choi Min-ho,choi-min-ho,Choi Min-ho,1991-12-09,4,162,37
Lee Chung-ah,lee-chung-ah,Lee Chung-ah,1984-10-29,3,162,54
Chae Jong-hyeop,chae-jong-hyeop,Chae Jong-hyeop,1993-05-19,2,160,33
